energy,contrast,correlation,entropy,filename,class,set_type
0.006413901523574911,349.4409410105415,0.7556528332708462,8.502882165443555,D1_1.png,D1,train
0.005045682735013542,457.8627860349669,0.7232283936996451,8.733562313495748,D1_10.png,D1,train
0.006758924136501214,305.08136681203274,0.7958055766541297,8.7930477217297,D1_2.png,D1,train
0.005148695277757733,284.94178551827457,0.8235952134260285,8.902354566575713,D1_3.png,D1,train
0.005362037533603977,267.55283229005977,0.8204861170377742,8.854501916855018,D1_4.png,D1,train
0.005042323001441177,400.0821910476247,0.7670439624125119,8.718290391691433,D1_5.png,D1,train
0.005580118585135151,338.1614315716348,0.7833476083845266,8.959310698887766,D1_6.png,D1,train
0.0051337262739855425,378.64135257208966,0.768357538209032,8.740421020789777,D1_7.png,D1,train
0.00530874713665206,280.244660824829,0.8276940132263937,8.898683575333,D1_8.png,D1,train
0.0049779996842220335,300.2428705722677,0.8096528308180473,9.01474909362537,D1_9.png,D1,train
0.005119087556707853,416.5142717109687,0.7608971745919666,8.933824084472105,D1_1.png,D1,test
0.00654600233197792,514.1343318598948,0.6798605769183267,8.483781653631045,D1_2.png,D1,test
0.006147478650304915,488.3900777139947,0.6742671289106359,8.563881809678108,D1_3.png,D1,test
0.006861839308717676,554.0699755992644,0.686976072938746,8.450060935249823,D1_4.png,D1,test
0.005042828668565696,534.1144301797792,0.6698629903399502,8.813115373241462,D1_5.png,D1,test
0.0045439954983061605,462.77243779913766,0.7199318286196043,9.038331894258341,D1_6.png,D1,test
0.0013212714523616698,280.3729598067719,0.8399802765001441,10.534813921722666,D2_1.png,D2,train
0.001081658473107775,242.7989096925557,0.8666095509120576,10.60885795579187,D2_10.png,D2,train
0.0012938865190346147,285.84436224338435,0.826614633978642,10.458153324231986,D2_2.png,D2,train
0.00649153736793617,178.20543089424865,0.8533485984601729,8.9773018606168,D2_3.png,D2,train
0.0015082806202896936,268.19339981112296,0.8629059137745744,10.479257780759795,D2_4.png,D2,train
0.0012749468195868729,248.52412601113485,0.8447862841113187,10.386010945852245,D2_5.png,D2,train
0.0021265368579943367,258.51021240012267,0.8431790071663298,10.198531861280856,D2_6.png,D2,train
0.0009664798077144736,301.0724986773664,0.7985235889326315,10.663625259949146,D2_7.png,D2,train
0.0026308035008382876,260.05565796695146,0.820305136647079,10.006039471602676,D2_8.png,D2,train
0.0009998453707204464,283.22113710642384,0.8326014157269381,10.639020395343596,D2_9.png,D2,train
0.0016633777779882107,395.30163005320196,0.8037171023444657,10.327732548666908,D2_1.png,D2,test
0.00841735252249086,317.89743291651837,0.7805162267335667,8.953698614926058,D2_2.png,D2,test
0.001205703882120161,435.7215429200784,0.763502297318761,10.583573827498277,D2_3.png,D2,test
0.010158529907974384,273.08612266870375,0.7972346341026769,8.595434158297921,D2_4.png,D2,test
0.0011333149397706706,411.7952922278589,0.7636244425770117,10.601186439025359,D2_5.png,D2,test
0.0015148759320700107,404.66089677030186,0.7706049010441757,10.418097319159859,D2_6.png,D2,test
0.014822757013080778,612.053747194039,0.6292383634750155,9.302507555083103,D3_1.png,D3,train
0.0110374820719036,662.4026538581346,0.6503001846563595,9.516010792032027,D3_10.png,D3,train
0.008800625609535876,673.2096845827895,0.6456872828083684,9.69987692862307,D3_2.png,D3,train
0.023917186123518452,638.843821941379,0.6500430735558201,8.466569413252913,D3_3.png,D3,train
0.011543076654517792,648.7269484123452,0.6232057603265972,9.488382670896858,D3_4.png,D3,train
0.004318107954353148,695.2371449285037,0.6541037536821386,10.306886339629877,D3_5.png,D3,train
0.015135497011532259,646.9458667700051,0.6442797516151021,9.137323385849275,D3_6.png,D3,train
0.02297269961217137,523.5389002610657,0.6656922141523152,8.698298573803726,D3_7.png,D3,train
0.01176406703368132,629.6848201218306,0.6629851194467583,9.454221598053579,D3_8.png,D3,train
0.010547521228117755,578.6926524613347,0.6936831513526753,9.610739027050048,D3_9.png,D3,train
0.015689413066351215,791.7036511485899,0.581390966885464,8.815583837645065,D3_1.png,D3,test
0.015200763615645669,780.1700938328191,0.5999153555930883,9.384385446430777,D3_2.png,D3,test
